Title,Author,Publisher,"No. of collected volumes",Serialized
One Piece,Eiichiro Oda,Shueisha,100,1997–present
Golgo 13,Takao Saito,Shogakukan,201,1968–present
Dragon Ball,Akira Toriyama,Shueisha,42,1984–1995
Detective Conan,Gosho Aoyama,Shogakukan,100,1994–present
Naruto,Masashi Kishimoto,Shueisha,72,1999–2014
Doraemon,Fujiko F. Fujio,Shogakukan,45,1969–1996
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,201,1976–2016
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,23,2016–2020
Crayon Shin-chan,Yoshito Usui,Futabasha,58,1990–present
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,111,1983–2014 (on hiatus)
Bleach,Tite Kubo,Shueisha,74,2001–2016
Slam Dunk,Takehiko Inoue,Shueisha,31,1990–1996
Astro Boy,Osamu Tezuka,Kobunsha,23,1952–1968
Attack on Titan,Hajime Isayama,Kodansha,34,2009–2021
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,27,1983–1988
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,131,1987–present
The Kindaichi Case Files,"Yozaburo Kanari, Seimaru Amagi, Fumiya Sato",Kodansha,87,1992–present
Touch,Mitsuru Adachi,Shogakukan,26,1981–1986
Hajime no Ippo,George Morikawa,Kodansha,132,1989–present
Sazae-san,Machiko Hasegawa,Kodansha,45,1946–1974
Baki the Grappler,Keisuke Itagaki,Akita Shoten,143,1991–present
Kingdom,Yasuhisa Hara,Shueisha,63,2006–present
Vagabond,Takehiko Inoue,Kodansha,37,1998–2015 (on hiatus)
Captain Tsubasa,Yoichi Takahashi,Shueisha,96,1981–present
Fullmetal Alchemist,Hiromu Arakawa,"Enix (2001–2003) Square Enix (2003–2010)",27,2001–2010
Sangokushi,Mitsuteru Yokoyama,Ushio Shuppansha,60,1971–1986
Hunter × Hunter,Yoshihiro Togashi,Shueisha,36,1998–2018 (on hiatus)
Kinnikuman,Yudetamago,Shueisha,76,"1979–1987, 2011–present"
Fairy Tail,Hiro Mashima,Kodansha,63,2006–2017
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,28,1994–1999
Boys Over Flowers,Yoko Kamio,Shueisha,37,1992–2003
Major,Takuya Mitsuda,Shogakukan,101,1994–present
Rokudenashi Blues,Masanori Morita,Shueisha,42,1988–1997
The Prince of Tennis,Takeshi Konomi,Shueisha,42,1999–2008
Gin Tama,Hideaki Sorachi,Shueisha,77,2003–2019
Bad Boys,Hiroshi Tanaka,Shonen Gahosha,22,1988–1996
